Time,Susceptible,Infected,Recovered,Phase,S_ratio,I_ratio,R_ratio
0.0,104805677.0,194323.0,20000000.0,dance,0.838445,0.001555,0.160000
0.1,104782401.4,214822.6,20002776.0,dance,0.838259,0.001719,0.160022
0.2,104756676.1,237478.9,20005844.9,hammer,0.838053,0.001900,0.160047
0.3,104753833.0,236929.5,20009237.5,hammer,0.838031,0.001895,0.160074
0.4,104750996.5,236381.3,20012622.2,hammer,0.838008,0.001891,0.160101
0.5,104748166.7,235834.3,20015999.1,hammer,0.837985,0.001887,0.160128
0.6,104745343.4,235288.4,20019368.1,hammer,0.837963,0.001882,0.160155
0.7,104742526.8,234743.8,20022729.4,hammer,0.837940,0.001878,0.160182
0.8,104739716.8,234200.3,20026082.9,hammer,0.837918,0.001874,0.160209
0.9,104736913.4,233658.1,20029428.6,hammer,0.837895,0.001869,0.160235
1.0,104734116.5,233117.0,20032766.5,hammer,0.837873,0.001865,0.160262
1.1,104731326.2,232577.0,20036096.8,hammer,0.837851,0.001861,0.160289
1.2,104728542.4,232038.3,20039419.3,hammer,0.837828,0.001856,0.160315
1.3,104725765.1,231500.7,20042734.1,hammer,0.837806,0.001852,0.160342
1.4,104722994.4,230964.3,20046041.3,hammer,0.837784,0.001848,0.160368
1.5,104720230.1,230429.1,20049340.8,hammer,0.837762,0.001843,0.160395
1.6,104717472.4,229895.0,20052632.6,hammer,0.837740,0.001839,0.160421
1.7,104714721.0,229362.1,20055916.8,hammer,0.837718,0.001835,0.160447
1.8,104711976.2,228830.4,20059193.4,hammer,0.837696,0.001831,0.160474
1.9,104709237.8,228299.8,20062462.4,hammer,0.837674,0.001826,0.160500
2.0,104706505.7,227770.4,20065723.8,hammer,0.837652,0.001822,0.160526
2.1,104703780.1,227242.1,20068977.7,hammer,0.837630,0.001818,0.160552
2.2,104701060.9,226715.0,20072224.0,hammer,0.837608,0.001814,0.160578
2.3,104698348.1,226189.1,20075462.8,hammer,0.837587,0.001810,0.160604
2.4,104695641.6,225664.3,20078694.1,hammer,0.837565,0.001805,0.160630
2.5,104692941.5,225140.6,20081917.8,hammer,0.837544,0.001801,0.160655
2.6,104690247.7,224618.1,20085134.1,hammer,0.837522,0.001797,0.160681
2.7,104687560.3,224096.8,20088343.0,hammer,0.837500,0.001793,0.160707
2.8,104684879.1,223576.5,20091544.3,hammer,0.837479,0.001789,0.160732
2.9,104682204.2,223057.5,20094738.3,hammer,0.837458,0.001784,0.160758
3.0,104679535.7,222539.5,20097924.8,hammer,0.837436,0.001780,0.160783
3.1,104676873.3,222022.7,20101104.0,hammer,0.837415,0.001776,0.160809
3.2,104674217.3,221507.0,20104275.7,hammer,0.837394,0.001772,0.160834
3.3,104671567.4,220992.5,20107440.1,hammer,0.837373,0.001768,0.160860
3.4,104668923.8,220479.1,20110597.1,hammer,0.837351,0.001764,0.160885
3.5,104666286.4,219966.8,20113746.8,hammer,0.837330,0.001760,0.160910
3.6,104663655.2,219455.6,20116889.2,hammer,0.837309,0.001756,0.160935
3.7,104661030.2,218945.5,20120024.3,hammer,0.837288,0.001752,0.160960
3.8,104658411.3,218436.6,20123152.1,hammer,0.837267,0.001747,0.160985
